distance,station_name,closest_station,closest_line,latitude,longitude,x1,cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,loc_of_occur_desc,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,lat_lon,new_georeferenced_column
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,1454,843223575,45,BRONX,08/06/2021,5:55:00,08/06/2021,5:59:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,08/06/2021,UNKNOWN,UNKNOWN,U,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000129376928844425,241 ST.-WAKEFIELD,233 ST,25,40.88745131,-73.84760779,1469,426706433,47,BRONX,08/07/2021,5:10:00,08/07/2021,5:25:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",TRANSIT - NYC SUBWAY,08/07/2021,18-24,WHITE HISPANIC,M,12,18-24,BLACK,F,1026387,262634,"(40.88745131300004, -73.84760778699997)",POINT (-73.84760778699997 40.88745131300004)
0.000204760331743889,FLATBUSH AVE.-BROOKLYN COLLEGE,AVENUE H,BQ,40.63289384,-73.94769921,1532,610219346,70,BROOKLYN,07/23/2021,2:55:00,07/23/2021,3:20:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,408,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",TRANSIT - NYC SUBWAY,07/23/2021,UNKNOWN,UNKNOWN,U,32,25-44,BLACK,M,998767,169858,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,1539,104019358,45,BRONX,07/26/2021,1:10:00,,,COMPLETED,,,1,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,07/26/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000204760331743889,FLATBUSH AVE.-BROOKLYN COLLEGE,AVENUE H,BQ,40.63289384,-73.94769921,1541,705776502,70,BROOKLYN,07/28/2021,21:45:00,07/28/2021,21:47:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,07/28/2021,45-64,WHITE,F,32,45-64,BLACK,F,998767,169858,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
0.000138975488111421,PELHAM PKWY.,PELHAM PKWY,5,40.85657673,-73.84389368,1575,547638000,49,BRONX,07/24/2021,6:27:00,07/24/2021,8:04:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/24/2021,UNKNOWN,UNKNOWN,U,12,UNKNOWN,UNKNOWN,D,1027434,251387,"(40.85657672800004, -73.84389367799997)",POINT (-73.84389367799997 40.85657672800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,1594,324853467,45,BRONX,07/24/2021,7:20:00,07/24/2021,7:25:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,07/24/2021,UNKNOWN,UNKNOWN,U,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000127422433465022,NEWKIRK AVENUE,FLATBUSH AV-B.C,25,40.63999493,-73.94841429,1806,544244866,67,BROOKLYN,07/22/2021,15:20:00,07/22/2021,15:30:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,07/22/2021,UNKNOWN,BLACK,M,32,45-64,WHITE HISPANIC,F,998567,172445,"(40.63999493100005, -73.94841428699993)",POINT (-73.94841428699993 40.63999493100005)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,1858,399562243,45,BRONX,07/19/2021,9:16:00,07/19/2021,11:06:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,07/19/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,1920,230936100,45,BRONX,07/15/2021,0:01:00,07/15/2021,1:45:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/15/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
